Filing ID;Company;Ticker;CIK;Filing Date;Filing Type;Period End;Fiscal Year;Fiscal Period;SEC Link;Calcbench Published;Data
936515;Apple Inc;AAPL;320193;5.6.2014;8-K ;27.6.2014;2014;3;http://www.sec.gov/Archives/edgar/data/320193/000119312514228798/0001193125-14-228798-index.htm;6.6.2014;FALSE
813081;United Parcel Service Inc;UPS;1090727;5.6.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/1090727/000109072714000022/0001090727-14-000022-index.htm;6.6.2014;FALSE
788394;Firstenergy Corp;FE;1031296;4.6.2014;8-K ;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/1031296/000103129614000029/0001031296-14-000029-index.htm;5.6.2014;FALSE
421559;FIRSTENERGY CORP;FE;1031296;16.4.2014;UPLOAD;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/1031296/000000000014019567/0000000000-14-019567-index.htm;4.6.2014;FALSE
421560;FIRSTENERGY CORP;FE;1031296;6.5.2014;UPLOAD;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/1031296/000000000014023335/0000000000-14-023335-index.htm;4.6.2014;FALSE
421561;FirstEnergy Solutions Corp.;FE;1031296;16.4.2014;UPLOAD;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/1407703/000000000014019567/0000000000-14-019567-index.htm;4.6.2014;FALSE
421562;FirstEnergy Solutions Corp.;FE;1031296;6.5.2014;UPLOAD;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/1407703/000000000014023335/0000000000-14-023335-index.htm;4.6.2014;FALSE
421558;FIRSTENERGY CORP;FE;1031296;30.4.2014;CORRESP;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/1031296/000103129614000017/0001031296-14-000017-index.htm;4.6.2014;FALSE
421532;CHEVRON CORP;CVX;93410;10.4.2014;UPLOAD;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/93410/000000000014018496/0000000000-14-018496-index.htm;4.6.2014;FALSE
421533;CHEVRON CORP;CVX;93410;30.4.2014;UPLOAD;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/93410/000000000014022255/0000000000-14-022255-index.htm;4.6.2014;FALSE
421531;CHEVRON CORP;CVX;93410;23.4.2014;CORRESP;29.6.2014;2014;2;http://www.sec.gov/Archives/edgar/data/93410/000009341014000019/0000093410-14-000019-index.htm;4.6.2014;FALSE
