Filing ID,Company,Ticker,CIK,Filing Date,Filing Type,Period End,Fiscal Year,Fiscal Period,SEC Link,Calcbench Published,Data,is_verified_signal
1309463,LOCKHEED MARTIN CORP,LMT,936468,2019-07-22,10-Q,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/936468/000093646819000058/0000936468-19-000058-index.htm,2019-07-23,True,True
1309448,Chubb Ltd,CB,896159,2019-07-22,8-K,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/896159/000119312519199993/0001193125-19-199993-index.htm,2019-07-23,True,True
1309259,LOCKHEED MARTIN CORP,LMT,936468,2019-07-22,8-K,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/936468/000093646819000055/0000936468-19-000055-index.htm,2019-07-23,True,True
1308167,MICROSOFT CORP,MSFT,789019,2019-07-17,8-K,29.6.2019,2019.0,4.0,https://www.sec.gov/Archives/edgar/data/789019/000119312519196501/0001193125-19-196501-index.htm,2019-07-18,True,True
1307507,BANK OF AMERICA CORP /DE/,BAC,70858,2019-07-16,8-K,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/70858/000007085819000037/0000070858-19-000037-index.htm,2019-07-17,True,True
1307170,JOHNSON & JOHNSON,JNJ,200406,2019-07-15,8-K,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/200406/000020040619000049/0000200406-19-000049-index.htm,2019-07-16,True,True
1307151,JPMORGAN CHASE & CO,JPM,19617,2019-07-15,8-K,29.6.2019,2019.0,2.0,https://www.sec.gov/Archives/edgar/data/19617/000001961719000120/0000019617-19-000120-index.htm,2019-07-16,True,True
1298920,Walmart Inc.,WMT,104169,2019-06-06,10-Q,29.4.2019,2020.0,1.0,http://www.sec.gov/Archives/edgar/data/104169/000010416919000024/0000104169-19-000024-index.htm,2019-06-07,True,True
1298008,SALESFORCE COM INC,CRM,1108524,2019-06-04,10-Q,29.4.2019,2020.0,1.0,http://www.sec.gov/Archives/edgar/data/1108524/000110852419000025/0001108524-19-000025-index.htm,2019-06-05,True,True
1297505,SALESFORCE COM INC,CRM,1108524,2019-06-03,8-K,29.4.2019,2020.0,1.0,https://www.sec.gov/Archives/edgar/data/1108524/000110852419000022/0001108524-19-000022-index.htm,2019-06-04,True,True
1296590,TARGET CORP,TGT,27419,2019-05-30,10-Q,3.5.2019,2019.0,1.0,http://www.sec.gov/Archives/edgar/data/27419/000002741919000013/0000027419-19-000013-index.htm,2019-05-31,True,True
1296095,DEERE & CO,DE,315189,2019-05-29,10-Q,27.4.2019,2019.0,2.0,http://www.sec.gov/Archives/edgar/data/315189/000155837019005380/0001558370-19-005380-index.htm,2019-05-30,True,True
